season,date,home,score,away,replay_str,replay,replay_two
8,"November 28, 2019",Atlanta Dirty Birds,35 - 28,Panama Pandemic,Replay,https://thehax.pl/forum/powtorki.php?nagranie=6c6d0697cf19bbedbef0a767ed786064,
8,"December 1, 2019",Loona Orbits,10 - 35,Mexico City Aztecs,Replay,https://thehax.pl/forum/powtorki.php?nagranie=fc5273271999ce6df2d49afb0ae94b4a,
8,"December 1, 2019",Incheon Butterflies,7 - 30,New Jersey Philly Specials,Replay,https://thehax.pl/forum/powtorki.php?nagranie=b7d9a00be95a02b3a0ce2f0f49486e15,
8,"December 1, 2019",Bubble’s Ice Penguins,16 - 14,Flip Gear,Replay,https://thehax.pl/forum/powtorki.php?nagranie=fa08e73d9020a64cb26c4e9bbebdaf69,
8,"December 1, 2019",Philly Goblins,6 - 10,Atlanta Dirty Birds,Replay,https://thehax.pl/forum/powtorki.php?nagranie=0305a2cce5e9bae78df8345c4d56eb47,
8,"December 1, 2019",Panama Pandemic,20 - 24,Flip Squad,Replay,https://thehax.pl/forum/powtorki.php?nagranie=cf6b4342bcb332b2724016daaa52c453,
8,"December 1, 2019",Chicago Lions,7 - 27,Loonaverse,Replay,https://thehax.pl/forum/powtorki.php?nagranie=55bad6f49fb2a654cbf2da4e78b88f02,
8,"December 5, 2019",New Jersey Philly Specials,42 - 28,Loona Orbits,Replay,https://thehax.pl/forum/powtorki.php?nagranie=01a477bbe0abd9b36865319f519a9538,
8,"December 5, 2019",Flip Gear,45 - 52,Mexico City Aztecs,Replay,https://thehax.pl/forum/powtorki.php?nagranie=cce210f2d6adfc654c68bff6c18ae42f,
8,"December 5, 2019",Bubble’s Ice Penguins,24 - 0,Incheon Butterflies,Replay,https://thehax.pl/forum/powtorki.php?nagranie=487cb8433011aecffa3ed92d344f3cb6,
8,"December 5, 2019",Philly Goblins,42 - 7,Chicago Lions,Replay,https://thehax.pl/forum/powtorki.php?nagranie=8ab39c44595e7f67db526faea840c467,
8,"December 5, 2019",Atlanta Dirty Birds,24 - 13,Flip Squad,Replay,https://thehax.pl/forum/powtorki.php?nagranie=d2c190cc039a4f5719ef5bff53e5bfef,
8,"December 5, 2019",Loonaverse,21 - 49,Panama Pandemic,Replay,https://thehax.pl/forum/powtorki.php?nagranie=b5e5123305b26c864d23c09f3674ce4d,
8,"December 8, 2019",Incheon Butterflies,14 - 38,Flip Gear,Replay,https://thehax.pl/forum/powtorki.php?nagranie=3be3f72e2e8baba887138ee3b265acb3,
8,"December 8, 2019",Mexico City Aztecs,42 - 35,New Jersey Philly Specials,Replay,https://thehax.pl/forum/powtorki.php?nagranie=f7c8fb7c966ba95e44805531ff1d6926,
8,"December 8, 2019",Loona Orbits,24 - 42,Bubble’s Ice Penguins,Replay,https://thehax.pl/forum/powtorki.php?nagranie=49602f5e5f74825cee15cd7018f3e557,
8,"December 8, 2019",Flip Squad,28 - 33,Loonaverse,Replay,https://thehax.pl/forum/powtorki.php?nagranie=93c5d7542fa67cbdb564ca8d54208e17,
8,"December 8, 2019",Panama Pandemic,17 - 10,Philly Goblins,Replay,https://thehax.pl/forum/powtorki.php?nagranie=9abfef90a156cafc07ba56867d88e366 ,
8,"December 8, 2019",Chicago Lions,6 - 16,Atlanta Dirty Birds,Replay,https://thehax.pl/forum/powtorki.php?nagranie=107db372ba7d3003506a0de8098d6fb2,
8,"December 12, 2019",New Jersey Philly Specials,24 - 13,Bubble’s Ice Penguins,Replay,https://thehax.pl/forum/powtorki.php?nagranie=1e80e3ab0b8959cd656b33711e58b8dd,
8,"December 12, 2019",Mexico City Aztecs,7 - 20,Flip Gear,Replay,https://thehax.pl/forum/powtorki.php?nagranie=c3683e69a53c8a9e4c0b701c552e04fb,
8,"December 12, 2019",Loonaverse,31 - 34,Atlanta Dirty Birds,Replay,https://thehax.pl/forum/powtorki.php?nagranie=b47bd2a68b3a76332be13bdef823d998,
8,"December 12, 2019",Panama Pandemic,24 - 20,Flip Squad,Replay,https://thehax.pl/forum/powtorki.php?nagranie=83a450ab2fee80db6692d5eddfc91531,https://thehax.pl/forum/powtorki.php?nagranie=ae98c214cb650f3e445e219f0c700ec4
8,"December 15, 2019",Flip Gear,10 - 31,New Jersey Philly Specials,Replay,https://thehax.pl/forum/powtorki.php?nagranie=e776b4e54d81c906f0bd244e12bcfb0c,
8,"December 15, 2019",Atlanta Dirty Birds,17 - 31,Panama Pandemic,Replay,https://thehax.pl/forum/powtorki.php?nagranie=764bd749d456150a4705b274f26ecda3,
